,1,2,3,4,5,6,7,,,
6/30/2009,1.11320342,-1.423110277,0.064043225,-4.686282552,-1.727571798,0.48756885,0.90509828,0.319504207,0.159823693,0.065985706
7/1/2009,-0.377785507,0.594957821,-0.529248767,0.580485514,-0.31905732,0.48756885,-0.263561035,-0.153442219,,
7/2/2009,-0.086528522,1.094007927,-0.39531958,2.399185402,0.754053411,-1.177503173,-0.053520209,-0.045155997,,
7/3/2009,0.567556339,0.100128827,-0.695788684,-0.011918316,-0.922382387,0.135342076,-0.250102553,0.780175675,,
7/6/2009,-0.292168051,-0.534414745,-0.637337989,3.096254633,-0.694783916,-1.161492865,-0.045554179,-0.257734895,,
7/7/2009,-0.566965076,-0.059396879,-0.042758071,0.344739185,0.74931484,-0.761235167,-0.06914406,-0.511982303,,
7/8/2009,-0.733959746,-0.413669373,-0.148630165,3.574266689,1.093772045,-3.41894628,0.327711239,-1.024685561,,
7/9/2009,-1.838017404,0.988433679,0.521644281,-0.480834552,-0.964931273,0.199383308,-1.98585155,-0.113352402,,
7/10/2009,1.015769497,0.274139206,0.005732743,1.275818624,1.353967481,-0.777245475,0.471234132,0.60001802,,
7/13/2009,-1.581763802,-0.072618381,0.067380225,-0.359530053,-0.444121441,0.711713161,-2.027214846,0.178933595,,
7/14/2009,1.884249315,0.779531592,0.626446086,-2.934624439,-0.309291251,0.919847164,0.979526924,1.025713821,,
7/15/2009,-1.095058532,-0.577198841,-0.309287943,-3.662676555,-1.725515103,1.224043014,-1.211297358,-0.045123178,,
7/16/2009,1.279568775,0.026081778,0.043034334,-1.209571998,0.569250536,-0.521080548,1.114886216,0.303119095,,
7/17/2009,-0.287506229,-0.528959551,-0.343727595,-2.463073335,-1.451200581,0.455548234,0.150008703,-0.42343181,,
7/21/2009,2.615263413,0.843930985,-0.249869829,2.483724564,2.883222154,-0.761235167,2.580082588,0.362451869,,
7/22/2009,-0.165712296,0.378157943,0.481222561,-0.093410203,-0.056709263,-0.12082285,0.229352893,-0.370756189,,
7/23/2009,-0.128148882,0.07737851,-0.237790828,-1.995931928,-1.274249151,2.120620257,-0.900511538,0.651054729,,
7/24/2009,1.467807426,0.184076062,-0.315451219,0.559908474,-0.261942994,-0.248905314,1.084823935,0.517545599,,
7/27/2009,0.442243128,0.723240319,-0.383751963,-0.481250679,-0.237171736,0.663682237,0.291674436,0.182909694,,
7/28/2009,0.947858412,0.048951795,-0.116729151,1.128444703,0.348623377,-1.081441325,1.110318393,-0.024612147,,
7/29/2009,-0.553804439,-0.617920785,0.226960676,-0.372673694,-0.115580562,0.743733777,-0.861187166,0.191142925,,
7/30/2009,2.400104723,0.410827602,0.19719157,0.261589834,1.017419263,0.95186778,-0.014314379,2.407324265,,
7/31/2009,1.391458626,0.214292873,0.699465519,1.828894298,2.175141938,-1.481699023,2.089547405,-0.43403791,,
8/3/2009,1.019679806,0.765616719,0.57141407,-2.321704589,-1.011018694,0.983888395,0.063796973,0.958854987,,
