stock,c.zoo
canon.7751,(0.51)
sharp.6753,0.42 
mitsubishi.8058,(0.04)
sevenni.3382,0.90 
brother.6448,0.31 
nintendo.7974,0.56 
murata.6981,1.04 
rohm.6963,1.07 
kawasaki.9107,(0.45)
toshiba.6502,(0.86)
sumitomoheavy.6302,(0.42)
fujielectric.6504,0.41 
panasonic.6752,0.45 
sony.6758,(0.21)
asahiglass.5201,(0.12)
kobsteel.5406,0.66 
msnad.8725,0.58 
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
stock,m.zoo
canon.7751,0.77 
sharp.6753,0.15 
mitsubishi.8058,(0.09)
sevenni.3382,(0.66)
brother.6448,0.11 
nintendo.7974,1.04 
murata.6981,0.15 
rohm.6963,(1.01)
kawasaki.9107,(0.49)
toshiba.6502,0.33 
sumitomoheavy.6302,(0.18)
fujielectric.6504,0.20 
panasonic.6752,(0.76)
sony.6758,(0.88)
asahiglass.5201,0.16 
kobsteel.5406,(0.25)
msnad.8725,(0.15)
