YYYYMMDD  Average(F) High(F)  Low(F) Fog/Rain/Snow/Hail/Thunder/Tornado
20100101	44.2	48	34	100000
20100102	29.9	48	24.1	000000
20100103	24.2	32	18	000000
20100104	26.2	36	17.1	000000
20100105	26.9	36	17.1	000000
20100106	29.1	41	18	000000
20100107	32.4	48	19	000000
20100108	35.1	48	20.1	010000
20100109	25.9	35.6	19.4	000000
20100110	28	37.4	19.4	000000
20100111	27.6	45	15.1	000000
20100112	34.9	45	16	000000
20100113	31.4	44.6	19.4	000000
20100114	37.5	57.2	24.8	000000
20100115	42.9	63	25.2	000000
20100116	44	63	28.2	000000
20100117	53.6	68	30.2	010000
20100118	50.9	68	39.9	100000
20100119	47.8	66.2	35.6	000000
20100120	51.2	66	35.1	000000
20100121	40.2	64.9	37	010000
20100122	37.9	41	37	010000
20100123	39.3	50	30	010000
20100124	46.9	64.9	31.1	010000
20100125	61.6	64.9	55.4	010000
20100126	45	66	30.9	000000
20100127	38.3	51.1	25	000000
20100128	42.7	63	25	000000
20100129	40.9	63	30.2	001000
20100130	25	35.1	19.4	101000
20100131	23.7	37.9	17.1	001000
20100201	30.7	48.2	19.4	000000
20100202	34.2	48	18	010000
20100203	38.8	51.1	29.1	110000
20100204	37.2	51.1	30	000000
20100205	36.9	44.1	30.2	011000
20100206	35.9	42.8	33.8	011000
20100207	32.2	42.1	21.9	000000
20100208	32.7	46	21.9	000000
20100209	36.1	39.2	32	010000
20100210	35.1	39.9	28	110000
20100211	35.6	45	29.1	000000
20100212	33.1	45	26.1	000000
20100213	33.3	42.8	30	001000
20100214	34.2	46.9	24.1	000000
20100215	39.1	51.1	24.1	010000
20100216	34.4	42.8	26.6	010000
20100217	32.7	43	25	000000
20100218	36.1	50	25	000000
20100219	40	54	25	000000
20100220	40.8	59	23	000000
20100221	44.5	64.4	24.8	000000
20100222	47.5	64.9	25.2	110000
20100223	46.2	53.6	39.2	100000
20100224	42.7	53.1	37	010000
20100225	36.3	48	32	011000
20100226	36.6	50	28.9	000000
20100227	39.4	51.1	29.1	000000
20100228	39.3	51.1	26.1	000000
20100301	41.3	54	26.2	000000
20100302	39.4	54	29.1	011000
20100303	37.9	44.1	33.1	011000
20100304	41.6	51.1	33.1	000000
20100305	39.2	51.8	24.8	000000
20100306	42.8	55.9	25.2	000000
20100307	42.4	63	24.1	000000
20100308	48.1	66	24.3	000000
20100309	53.3	73	30.2	000000
20100310	58	73	35.1	010000
20100311	57.5	69.1	50	110000
20100312	61.5	69.1	52	010000
20100313	58.3	68	51.1	110010
20100314	52.2	60.8	44.6	010000
20100315	52.1	60.8	39.2	000000
